PROLIFIC_PID,target,row_index,cond_hit_rate,cond_fa_rate,RT_present,RT_absent,conf_present,conf_absent
545d347afdf99b7f9fca22c7,S,16,0.3333333333333333,0.0,450.5,-136.0,,
545d347afdf99b7f9fca22c7,S,17,1.0,0.75,-103.5,1003.0,,
545d347afdf99b7f9fca22c7,S,18,1.0,0.4,-103.5,241.0,,
54762f9efdf99b05557e04be,A,1,1.0,0.0,-98.84999999403954,201.8999999910593,,
54762f9efdf99b05557e04be,A,2,0.8,0.0,760.1500000059605,428.6499999910593,,
54762f9efdf99b05557e04be,A,3,0.8333333333333334,0.0,-317.6000000089407,652.599999986589,,
54762f9efdf99b05557e04be,A,4,0.6666666666666666,0.0,207.20000000298023,428.6499999910593,,
54762f9efdf99b05557e04be,A,5,1.0,0.0,466.3999999985099,-205.20000000298023,,
54762f9efdf99b05557e04be,A,6,0.5,0.0,422.95000000298023,201.8999999910593,,
54762f9efdf99b05557e04be,A,7,0.5,0.0,-366.1000000089407,-1089.4000000059605,,
54762f9efdf99b05557e04be,A,8,1.0,0.0,181.44999999552965,-205.20000000298023,,
54762f9efdf99b05557e04be,A,9,0.5,0.2,729.0,65.3999999910593,,
54762f9efdf99b05557e04be,A,10,0.8,0.0,524.8500000014901,1061.0,,
54762f9efdf99b05557e04be,A,11,0.6666666666666666,0.0,-176.44999999552965,530.5,,
54762f9efdf99b05557e04be,A,12,0.75,0.0,1041.0,393.69999998807907,,
54762f9efdf99b05557e04be,A,13,0.6666666666666666,,283.34999999403954,,,
54762f9efdf99b05557e04be,A,14,0.5,0.3333333333333333,-314.59999999403954,-1.6500000059604645,,
54762f9efdf99b05557e04be,A,15,0.75,0.0,729.0,-37.20000001043081,,
54762f9efdf99b05557e04be,A,16,1.0,0.0,0.0,857.2999999821186,,
54762f9efdf99b05557e04be,A,17,1.0,0.0,-317.6000000089407,65.3999999910593,,
54762f9efdf99b05557e04be,A,18,0.8,0.0,830.8999999985099,-112.7000000178814,,
54762f9efdf99b05557e04be,S,1,1.0,0.5,-269.19999998807907,-1211.8999999910593,-0.012861212861212556,-0.07962962962963005
54762f9efdf99b05557e04be,S,2,,0.2,,465.4500000104308,,0.0064814814814815325
54762f9efdf99b05557e04be,S,3,0.8571428571428571,0.0,581.8500000089407,748.5000000149012,-0.05413105413105401,-0.04851851851851863
54762f9efdf99b05557e04be,S,4,1.0,0.0,643.2000000104308,-1349.3499999940395,-0.08406932573599235,-0.07777777777777806
54762f9efdf99b05557e04be,S,5,0.6666666666666666,0.5,368.75000001490116,0.0,0.08568376068376082,0.14814814814814803
54762f9efdf99b05557e04be,S,6,0.8,0.6,-247.34999999403954,-540.0499999895692,-0.09811253561253541,0.0592592592592589
54762f9efdf99b05557e04be,S,7,1.0,0.3333333333333333,581.8500000089407,-743.3999999985099,-0.1106125356125357,0.03611111111111098
54762f9efdf99b05557e04be,S,8,0.8,0.0,-4.799999989569187,-535.849999986589,0.06114672364672358,0.08842592592592569
54762f9efdf99b05557e04be,S,9,0.75,0.6,-269.19999998807907,-348.5499999895692,0.004510921177588112,-0.22962962962962952
54762f9efdf99b05557e04be,S,10,1.0,0.25,1031.8500000089407,-1211.8999999910593,-0.12218660968660966,0.05740740740740735
54762f9efdf99b05557e04be,S,11,0.5,0.3333333333333333,-785.3999999910593,648.3500000089407,0.2477207977207978,0.07592592592592595
54762f9efdf99b05557e04be,S,12,1.0,0.5,-785.3999999910593,-682.1999999880791,0.2477207977207978,0.0064814814814815325
54762f9efdf99b05557e04be,S,13,0.5,0.3333333333333333,904.1000000089407,374.2500000074506,0.09772079772079789,0.061111111111111005
54762f9efdf99b05557e04be,S,14,0.6666666666666666,1.0,-435.3999999985099,,-0.08839031339031311,
54762f9efdf99b05557e04be,S,15,1.0,0.3333333333333333,-322.6499999985099,-2087.199999988079,0.1113010446343784,0.2898148148148145
54762f9efdf99b05557e04be,S,16,0.0,0.6666666666666666,,65.90000000596046,,0.17314814814814805
54762f9efdf99b05557e04be,S,17,0.6666666666666666,0.3333333333333333,1448.0500000044703,1216.8500000014901,-0.07264957264957217,-0.1425925925925926
54762f9efdf99b05557e04be,S,18,1.0,1.0,-269.19999998807907,,0.09031339031339047,
54b042f9fdf99b71c47ea96b,A,1,0.8333333333333334,,0.0,30.149999976158142,-0.052604166666666896,0.005338541666666918
54b042f9fdf99b71c47ea96b,A,2,0.3333333333333333,,903.5,-46.499999940395355,0.08593749999999956,-0.008463541666666297
54b042f9fdf99b71c47ea96b,A,3,0.6666666666666666,,141.3499999642372,-30.149999976158142,-0.07291666666666696,0.060174851190476275
54b042f9fdf99b71c47ea96b,A,4,1.0,,-620.8000000715256,125.15000003576279,-0.06684027777777779,0.03537326388888895
54b042f9fdf99b71c47ea96b,A,5,0.0,,,95.00000005960464,,0.005859375000000222
54b042f9fdf99b71c47ea96b,A,6,0.3333333333333333,,-1003.8000000715256,332.450000166893,0.24739583333333348,0.0579427083333337
54b042f9fdf99b71c47ea96b,A,7,0.3333333333333333,,414.4999998807907,-370.75,0.24739583333333348,0.07269965277777779
54b042f9fdf99b71c47ea96b,A,8,0.8,,129.99999994039536,1117.9500000476837,0.027343749999999778,0.02669270833333326
54b042f9fdf99b71c47ea96b,A,9,0.8333333333333334,,-620.8000000715256,-62.84999990463257,-0.017187500000000133,0.0345052083333337
54b042f9fdf99b71c47ea96b,A,10,0.3333333333333333,,414.4999998807907,-101.19999992847443,0.24739583333333348,0.06770833333333348
54b042f9fdf99b71c47ea96b,A,11,0.75,,414.4999998807907,30.149999976158142,0.0694444444444442,0.03450520833333337
54b042f9fdf99b71c47ea96b,A,12,0.5,,414.4999998807907,-122.44999992847443,0.24739583333333348,0.029817708333333304
54b042f9fdf99b71c47ea96b,A,13,0.3333333333333333,,-620.8000000715256,-271.49999994039536,-0.23177083333333348,0.05143229166666674
54b042f9fdf99b71c47ea96b,A,14,1.0,,-458.40000009536743,-62.84999990463257,-0.19270833333333348,-0.08632812499999987
54b042f9fdf99b71c47ea96b,A,15,0.75,,414.4999998807907,0.0,0.13454861111111116,-0.018446180555555247
54b042f9fdf99b71c47ea96b,A,16,1.0,,-845.8000000715256,-32.29999989271164,0.123046875,0.11783854166666674
54b042f9fdf99b71c47ea96b,A,17,1.0,,-458.40000009536743,1449.7500000596046,0.030729166666666474,-0.0592447916666663
54b042f9fdf99b71c47ea96b,A,18,1.0,,125.59999990463257,,-0.024305555555555802,
54b042f9fdf99b71c47ea96b,S,1,0.0,0.0,,114.24999994039536,,
54b042f9fdf99b71c47ea96b,S,2,0.6666666666666666,0.0,-47.450000047683716,-300.0,,
54b042f9fdf99b71c47ea96b,S,3,0.6,0.3333333333333333,51.049999952316284,-141.30000001192093,,
54b042f9fdf99b71c47ea96b,S,4,0.5714285714285714,0.5,143.4000000357628,96.29999995231628,,
54b042f9fdf99b71c47ea96b,S,5,0.6,0.2,-145.95000004768372,10.649999976158142,,
54b042f9fdf99b71c47ea96b,S,6,0.6666666666666666,0.25,1221.3999999761581,0.0,,
54b042f9fdf99b71c47ea96b,S,7,0.0,0.2,,-108.60000002384186,,
54b042f9fdf99b71c47ea96b,S,8,0.2,0.0,469.34999990463257,56.84999996423721,,
54b042f9fdf99b71c47ea96b,S,9,0.6666666666666666,0.25,0.0,144.4999998807907,,
54b042f9fdf99b71c47ea96b,S,10,0.0,0.0,,485.3499999642372,,
54b042f9fdf99b71c47ea96b,S,11,0.6666666666666666,0.16666666666666666,194.44999998807907,-58.5,,
54b042f9fdf99b71c47ea96b,S,12,0.25,0.3333333333333333,-171.14999997615814,-31.200000047683716,,
54b042f9fdf99b71c47ea96b,S,13,0.5,0.6666666666666666,1306.0,17.399999976158142,,
