PROLIFIC_PID,target,row_index,cond_hit_rate,cond_fa_rate,RT_present,RT_absent
559ffa9bfdf99b0ad674856a,S,7,0.6,0.3333333333333333,298.1999999284744,239.25
559ffa9bfdf99b0ad674856a,S,8,0.3333333333333333,0.3333333333333333,645.2999999523163,240.20000004768372
559ffa9bfdf99b0ad674856a,S,9,0.2,0.25,379.60000002384186,180.40000009536743
559ffa9bfdf99b0ad674856a,S,10,1.0,0.16666666666666666,-313.60000002384186,300.0
559ffa9bfdf99b0ad674856a,S,11,0.8333333333333334,0.0,205.89999997615814,300.0
559ffa9bfdf99b0ad674856a,S,12,0.5,0.0,-286.8000000715256,35.25
559ffa9bfdf99b0ad674856a,S,13,1.0,0.5,205.89999997615814,-101.09999990463257
559ffa9bfdf99b0ad674856a,S,14,0.0,0.0,,47.1000000834465
559ffa9bfdf99b0ad674856a,S,15,0.6666666666666666,0.0,175.74999994039536,190.0
559ffa9bfdf99b0ad674856a,S,16,0.0,0.0,,-83.64999997615814
559ffa9bfdf99b0ad674856a,S,17,0.6666666666666666,0.0,292.75,43.30000001192093
559ffa9bfdf99b0ad674856a,S,18,0.25,0.5,205.89999997615814,-101.09999990463257
55d4c46f58c35800113dc131,A,1,,,421.95000000298023,30.899999991059303
55d4c46f58c35800113dc131,A,2,,,-124.04999999701977,-347.1000000089407
55d4c46f58c35800113dc131,A,3,,,-174.0500000268221,85.79999996721745
55d4c46f58c35800113dc131,A,4,,,135.74999998509884,73.34999999403954
55d4c46f58c35800113dc131,A,5,,,,317.0999999791384
55d4c46f58c35800113dc131,A,6,,,28.899999991059303,342.99999998509884
55d4c46f58c35800113dc131,A,7,,,14.450000002980232,141.75
55d4c46f58c35800113dc131,A,8,,,218.20000000298023,58.349999979138374
55d4c46f58c35800113dc131,A,9,,,-54.79999999701977,30.899999991059303
55d4c46f58c35800113dc131,A,10,,,-14.450000002980232,85.79999996721745
55d4c46f58c35800113dc131,A,11,,,0.0,-347.1000000089407
55d4c46f58c35800113dc131,A,12,,,14.450000002980232,-474.65000000596046
55d4c46f58c35800113dc131,A,13,,,-174.0500000268221,385.49999998509884
55d4c46f58c35800113dc131,A,14,,,1512.449999988079,-374.65000000596046
55d4c46f58c35800113dc131,A,15,,,44.19999998807907,269.6499999910593
55d4c46f58c35800113dc131,A,16,,,-184.3500000089407,
55d4c46f58c35800113dc131,A,17,,,14.450000002980232,-571.6000000089407
55d4c46f58c35800113dc131,A,18,,,-146.25000001490116,30.899999991059303
55d4c46f58c35800113dc131,S,1,0.5,0.16666666666666666,-199.1499999910593,749.5999999642372
55d4c46f58c35800113dc131,S,2,0.6,0.0,-70.20000000298023,-71.65000000596046
55d4c46f58c35800113dc131,S,3,0.75,0.0,-95.09999997913837,589.5999999791384
55d4c46f58c35800113dc131,S,4,1.0,0.2,1140.9500000029802,515.0999999642372
55d4c46f58c35800113dc131,S,5,0.5,0.0,1298.25,405.89999997615814
55d4c46f58c35800113dc131,S,6,0.6666666666666666,0.0,-17.94999998807907,223.5999999642372
55d4c46f58c35800113dc131,S,7,1.0,0.0,213.75,852.5999999791384
55d4c46f58c35800113dc131,S,8,0.5714285714285714,0.0,-186.99999998509884,774.0
55d4c46f58c35800113dc131,S,9,0.3333333333333333,0.0,-111.8999999910593,111.7999999821186
55d4c46f58c35800113dc131,S,10,0.6,0.0,59.20000000298023,749.5999999642372
55d4c46f58c35800113dc131,S,11,1.0,0.0,-262.0999999791384,-0.6000000238418579
55d4c46f58c35800113dc131,S,12,0.8,0.0,-103.49999998509884,-0.6000000238418579
55d4c46f58c35800113dc131,S,13,0.75,0.0,-262.0999999791384,812.3999999761581
55d4c46f58c35800113dc131,S,14,0.6666666666666666,0.0,-103.49999998509884,-0.6000000238418579
55d4c46f58c35800113dc131,S,15,1.0,0.0,1016.0,749.5999999642372
55d4c46f58c35800113dc131,S,16,0.6666666666666666,0.0,914.5500000119209,-0.6000000238418579
55d4c46f58c35800113dc131,S,17,0.5,0.0,59.20000000298023,-392.00000001490116
55d4c46f58c35800113dc131,S,18,1.0,0.0,-262.0999999791384,-570.5000000149012
55dbdc9d50a1f7001190d753,A,1,0.6666666666666666,0.0,19.449999928474426,-371.14999997615814
55dbdc9d50a1f7001190d753,A,2,0.42857142857142855,0.5,-477.40000009536743,1156.7500000596046
55dbdc9d50a1f7001190d753,A,3,0.5,0.0,532.5999999046326,132.9000000357628
55dbdc9d50a1f7001190d753,A,4,0.3333333333333333,0.3333333333333333,-623.3000000715256,-266.5499999523163
55dbdc9d50a1f7001190d753,A,5,0.0,0.125,,-269.44999998807907
55dbdc9d50a1f7001190d753,A,6,0.6666666666666666,0.3333333333333333,-53.500000059604645,361.85000002384186
55dbdc9d50a1f7001190d753,A,7,0.5,0.0,258.14999997615814,354.05000001192093
55dbdc9d50a1f7001190d753,A,8,0.6666666666666666,0.0,-224.05000001192093,0.0
55dbdc9d50a1f7001190d753,A,9,0.2,0.3333333333333333,516.2999999523163,-681.8999999761581
55dbdc9d50a1f7001190d753,A,10,0.6666666666666666,0.3333333333333333,27.59999990463257,443.6500000357628
55dbdc9d50a1f7001190d753,A,11,0.0,0.5,,-992.3499999642372
55dbdc9d50a1f7001190d753,A,12,0.25,0.2,-623.3000000715256,-19.449999928474426
55dbdc9d50a1f7001190d753,A,13,0.0,0.3333333333333333,,-533.1999999284744
55dbdc9d50a1f7001190d753,A,14,0.0,0.5,,341.9500000476837
55dbdc9d50a1f7001190d753,A,15,0.0,0.3333333333333333,,-230.69999998807907
55dbdc9d50a1f7001190d753,A,16,0.4,0.2857142857142857,-193.25,-472.8499999642372
55dbdc9d50a1f7001190d753,A,17,0.6666666666666666,0.3333333333333333,-446.6000000834465,-119.74999994039536
55dbdc9d50a1f7001190d753,A,18,0.6,0.0,-477.40000009536743,354.05000001192093
55dbdc9d50a1f7001190d753,S,1,0.75,0.5,-268.20000010728836,11.050000011920929
55dbdc9d50a1f7001190d753,S,2,0.75,0.6,451.80000001192093,11.050000011920929
55dbdc9d50a1f7001190d753,S,3,0.6,1.0,451.80000001192093,
55dbdc9d50a1f7001190d753,S,4,0.6666666666666666,0.5,883.9999999403954,-27.19999998807907
55dbdc9d50a1f7001190d753,S,5,0.6666666666666666,0.5,789.1499999761581,-143.8500000834465
55dbdc9d50a1f7001190d753,S,6,0.75,0.25,-241.0999999642372,1019.7499999403954
55dbdc9d50a1f7001190d753,S,7,0.5,0.5,65.40000003576279,-105.20000004768372
